
ACCX_Angle -176.68	ACCY_Angle 175.71		GRYX_Angle -235.18	GYRY_Angle -230.88	GYRZ_Angle -230.77		CFangleX_Angle -177.76	CFangleY_Angle 175.65		HEADING  139.55	tiltCompensatedHeading 166.70
ACCX_Angle -177.27	ACCY_Angle 176.62		GRYX_Angle -235.38	GYRY_Angle -231.08	GYRZ_Angle -230.97		CFangleX_Angle -177.82	CFangleY_Angle 175.68		HEADING  139.55	tiltCompensatedHeading 162.64
ACCX_Angle -176.28	ACCY_Angle 176.61		GRYX_Angle -235.59	GYRY_Angle -231.29	GYRZ_Angle -231.18		CFangleX_Angle -177.68	CFangleY_Angle 175.70		HEADING  137.57	tiltCompensatedHeading 165.86
ACCX_Angle -176.59	ACCY_Angle 176.82		GRYX_Angle -235.83	GYRY_Angle -231.53	GYRZ_Angle -231.44		CFangleX_Angle -177.66	CFangleY_Angle 175.73		HEADING  137.57	tiltCompensatedHeading 163.86
ACCX_Angle -176.61	ACCY_Angle 176.17		GRYX_Angle -236.09	GYRY_Angle -231.78	GYRZ_Angle -231.65		CFangleX_Angle -177.65	CFangleY_Angle 175.62		HEADING  141.09	tiltCompensatedHeading 166.50
ACCX_Angle -176.68	ACCY_Angle 176.01		GRYX_Angle -236.30	GYRY_Angle -232.00	GYRZ_Angle -231.87		CFangleX_Angle -177.63	CFangleY_Angle 175.52		HEADING  141.59	tiltCompensatedHeading 166.84
ACCX_Angle -176.12	ACCY_Angle 177.27		GRYX_Angle -236.52	GYRY_Angle -232.22	GYRZ_Angle -232.08		CFangleX_Angle -177.50	CFangleY_Angle 175.70		HEADING  140.36	tiltCompensatedHeading 167.93
ACCX_Angle -177.46	ACCY_Angle 175.05		GRYX_Angle -236.73	GYRY_Angle -232.43	GYRZ_Angle -232.30		CFangleX_Angle -177.66	CFangleY_Angle 175.40		HEADING  140.41	tiltCompensatedHeading 164.32
ACCX_Angle -177.48	ACCY_Angle 175.11		GRYX_Angle -236.95	GYRY_Angle -232.65	GYRZ_Angle -232.52		CFangleX_Angle -177.80	CFangleY_Angle 175.17		HEADING  140.41	tiltCompensatedHeading 164.18
ACCX_Angle -176.48	ACCY_Angle 175.21		GRYX_Angle -237.18	GYRY_Angle -232.87	GYRZ_Angle -232.75		CFangleX_Angle -177.72	CFangleY_Angle 174.99		HEADING  140.92	tiltCompensatedHeading 168.80
ACCX_Angle -176.95	ACCY_Angle 174.56		GRYX_Angle -237.42	GYRY_Angle -233.11	GYRZ_Angle -232.99		CFangleX_Angle -177.75	CFangleY_Angle 174.72		HEADING  140.92	tiltCompensatedHeading 167.30
ACCX_Angle -176.56	ACCY_Angle 177.39		GRYX_Angle -237.61	GYRY_Angle -233.30	GYRZ_Angle -233.18		CFangleX_Angle -177.67	CFangleY_Angle 175.10		HEADING  140.71	tiltCompensatedHeading 166.13
ACCX_Angle -175.60	ACCY_Angle 178.12		GRYX_Angle -237.81	GYRY_Angle -233.51	GYRZ_Angle -233.39		CFangleX_Angle -177.42	CFangleY_Angle 175.54		HEADING  140.71	tiltCompensatedHeading 170.97
ACCX_Angle -177.17	ACCY_Angle 175.41		GRYX_Angle -238.02	GYRY_Angle -233.72	GYRZ_Angle -233.60		CFangleX_Angle -177.54	CFangleY_Angle 175.34		HEADING  140.98	tiltCompensatedHeading 165.14
ACCX_Angle -177.14	ACCY_Angle 177.18		GRYX_Angle -238.24	GYRY_Angle -233.95	GYRZ_Angle -233.83		CFangleX_Angle -177.63	CFangleY_Angle 175.52		HEADING  140.98	tiltCompensatedHeading 162.97
ACCX_Angle -177.02	ACCY_Angle 174.53		GRYX_Angle -238.49	GYRY_Angle -234.20	GYRZ_Angle -234.08		CFangleX_Angle -177.71	CFangleY_Angle 175.12		HEADING  140.57	tiltCompensatedHeading 166.51
ACCX_Angle -177.12	ACCY_Angle 174.72		GRYX_Angle -238.69	GYRY_Angle -234.41	GYRZ_Angle -234.29		CFangleX_Angle -177.75	CFangleY_Angle 174.88		HEADING  141.29	tiltCompensatedHeading 166.71
ACCX_Angle -177.07	ACCY_Angle 177.95		GRYX_Angle -238.92	GYRY_Angle -234.64	GYRZ_Angle -234.52		CFangleX_Angle -177.80	CFangleY_Angle 175.31		HEADING  141.29	tiltCompensatedHeading 162.81
ACCX_Angle -176.58	ACCY_Angle 175.15		GRYX_Angle -239.15	GYRY_Angle -234.86	GYRZ_Angle -234.74		CFangleX_Angle -177.74	CFangleY_Angle 175.10		HEADING  141.34	tiltCompensatedHeading 168.58
ACCX_Angle -177.10	ACCY_Angle 176.47		GRYX_Angle -239.37	GYRY_Angle -235.08	GYRZ_Angle -234.96		CFangleX_Angle -177.79	CFangleY_Angle 175.19		HEADING  142.27	tiltCompensatedHeading 165.52
ACCX_Angle -176.94	ACCY_Angle 176.15		GRYX_Angle -239.54	GYRY_Angle -235.26	GYRZ_Angle -235.14		CFangleX_Angle -177.76	CFangleY_Angle 175.24		HEADING  142.27	tiltCompensatedHeading 166.70
ACCX_Angle -176.09	ACCY_Angle 176.53		GRYX_Angle -239.75	GYRY_Angle -235.46	GYRZ_Angle -235.34		CFangleX_Angle -177.59	CFangleY_Angle 175.34		HEADING  143.90	tiltCompensatedHeading 171.19
ACCX_Angle -177.36	ACCY_Angle 174.58		GRYX_Angle -239.98	GYRY_Angle -235.70	GYRZ_Angle -235.58		CFangleX_Angle -177.73	CFangleY_Angle 175.00		HEADING  143.90	tiltCompensatedHeading 167.02
ACCX_Angle -176.29	ACCY_Angle 177.66		GRYX_Angle -240.21	GYRY_Angle -235.93	GYRZ_Angle -235.80		CFangleX_Angle -177.62	CFangleY_Angle 175.35		HEADING  142.21	tiltCompensatedHeading 168.33
ACCX_Angle -176.53	ACCY_Angle 178.26		GRYX_Angle -240.44	GYRY_Angle -236.16	GYRZ_Angle -236.03		CFangleX_Angle -177.59	CFangleY_Angle 175.75		HEADING  142.47	tiltCompensatedHeading 166.15
ACCX_Angle -176.09	ACCY_Angle 177.02		GRYX_Angle -240.65	GYRY_Angle -236.36	GYRZ_Angle -236.24		CFangleX_Angle -177.46	CFangleY_Angle 175.84		HEADING  142.47	tiltCompensatedHeading 170.31
ACCX_Angle -176.45	ACCY_Angle 175.53		GRYX_Angle -240.86	GYRY_Angle -236.58	GYRZ_Angle -236.46		CFangleX_Angle -177.42	CFangleY_Angle 175.61		HEADING  141.49	tiltCompensatedHeading 168.94
ACCX_Angle -177.12	ACCY_Angle 175.70		GRYX_Angle -241.07	GYRY_Angle -236.79	GYRZ_Angle -236.67		CFangleX_Angle -177.53	CFangleY_Angle 175.45		HEADING  141.49	tiltCompensatedHeading 165.51
ACCX_Angle -176.34	ACCY_Angle 175.58		GRYX_Angle -241.29	GYRY_Angle -237.01	GYRZ_Angle -236.89		CFangleX_Angle -177.47	CFangleY_Angle 175.30		HEADING  141.90	tiltCompensatedHeading 169.31
