
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.64	GYRY_Angle  0.74	GYRZ_Angle  0.84		CFangleX_Angle -179.84	CFangleY_Angle -162.09		HEADING  350.36	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.67	GYRY_Angle  0.77	GYRZ_Angle  0.87		CFangleX_Angle -179.84	CFangleY_Angle -162.10		HEADING  350.36	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.70	GYRY_Angle  0.79	GYRZ_Angle  0.90		CFangleX_Angle -179.85	CFangleY_Angle -162.11		HEADING  350.36	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.72	GYRY_Angle  0.82	GYRZ_Angle  0.92		CFangleX_Angle -179.85	CFangleY_Angle -162.11		HEADING  350.36	tiltCompensatedHeading 273.06
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.74	GYRY_Angle  0.84	GYRZ_Angle  0.94		CFangleX_Angle -179.85	CFangleY_Angle -162.06		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.77	GYRY_Angle  0.87	GYRZ_Angle  0.97		CFangleX_Angle -179.86	CFangleY_Angle -162.02		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.79	GYRY_Angle  0.88	GYRZ_Angle  0.99		CFangleX_Angle -179.86	CFangleY_Angle -161.99		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.82	GYRY_Angle  0.91	GYRZ_Angle  1.02		CFangleX_Angle -179.85	CFangleY_Angle -161.95		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.85	GYRY_Angle  0.94	GYRZ_Angle  1.04		CFangleX_Angle -179.85	CFangleY_Angle -161.93		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.87	GYRY_Angle  0.96	GYRZ_Angle  1.07		CFangleX_Angle -179.86	CFangleY_Angle -161.91		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.90	GYRY_Angle  0.99	GYRZ_Angle  1.09		CFangleX_Angle -179.86	CFangleY_Angle -161.90		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.93	GYRY_Angle  1.01	GYRZ_Angle  1.12		CFangleX_Angle -179.86	CFangleY_Angle -161.89		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.95	GYRY_Angle  1.03	GYRZ_Angle  1.14		CFangleX_Angle -179.86	CFangleY_Angle -161.88		HEADING  352.19	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.94		GRYX_Angle  3.97	GYRY_Angle  1.06	GYRZ_Angle  1.16		CFangleX_Angle -179.86	CFangleY_Angle -161.87		HEADING  351.33	tiltCompensatedHeading 265.78
ACCX_Angle -179.96	ACCY_Angle -162.13		GRYX_Angle  3.99	GYRY_Angle  1.08	GYRZ_Angle  1.19		CFangleX_Angle -179.87	CFangleY_Angle -161.91		HEADING  351.33	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.13		GRYX_Angle  4.02	GYRY_Angle  1.10	GYRZ_Angle  1.22		CFangleX_Angle -179.86	CFangleY_Angle -161.93		HEADING  351.33	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.13		GRYX_Angle  4.04	GYRY_Angle  1.13	GYRZ_Angle  1.25		CFangleX_Angle -179.86	CFangleY_Angle -161.95		HEADING  351.33	tiltCompensatedHeading 270.00
