secs,time, cad, hr, km, kph, watts, alt, lon, lat, slope, temp, lrbalance
660,140,80,164,1.44867,33.8904,100,96.8,144.41,-37.8777,-1.78E-16,22,46
661,141,80,163,1.45849,34.3944,93,96.8,144.41,-37.8777,-1.78E-16,22,45
662,142,80,163,1.46781,34.452,84,96.8,144.409,-37.8777,-1.78E-16,22,44
663,143,80,163,1.47717,34.47,82,96.8,144.409,-37.8777,-1.78E-16,22,42
664,144,80,162,1.48584,33.4224,80,96.8,144.409,-37.8777,-1.78E-16,22,41
665,145,79,163,1.49357,32.328,83,96.8,144.409,-37.8777,-1.78E-16,22,40
666,146,78,163,1.50167,32.2812,82,96.8,144.409,-37.8778,-1.78E-16,22,40
667,147,78,162,1.50966,32.2272,86,96.8,144.409,-37.8778,-1.78E-16,22,41
668,148,78,163,1.51905,32.886,90,96.8,144.409,-37.8778,-1.78E-16,22,43
669,149,79,163,1.52816,32.9184,75,96.8,144.409,-37.8778,-1.78E-16,22,43
670,150,79,163,1.53749,33.2964,60,96.8,144.409,-37.8778,-1.78E-16,22,46
671,151,79,163,1.5467,33.9156,61,96.8,144.409,-37.8778,-1.78E-16,22,46
672,152,79,163,1.55479,33.0624,65,96.8,144.408,-37.8778,-1.78E-16,22,44
673,153,79,163,1.56325,32.724,68,96.8,144.408,-37.8779,-1.78E-16,22,44
674,154,79,164,1.5713,32.6916,57,96.8,144.408,-37.8779,-1.78E-16,22,46
675,155,78,164,1.57884,32.5584,48,96.8,144.408,-37.8779,-1.78E-16,22,42
676,156,79,164,1.58702,32.4216,49,96.8,144.408,-37.8779,-1.78E-16,22,44
677,157,78,163,1.59487,32.0724,59,96.8,144.408,-37.8779,-1.78E-16,22,41
678,158,78,162,1.60316,32.4936,75,96.8,144.408,-37.878,-1.78E-16,22,45
679,159,78,161,1.61147,32.5404,81,96.8,144.408,-37.878,-1.78E-16,22,45
680,160,78,159,1.61886,32.832,78,96.8,144.408,-37.878,-1.78E-16,22,42
681,161,78,157,1.6269,32.1084,76,96.8,144.408,-37.8781,-1.78E-16,22,41
682,162,78,156,1.63516,32.1768,73,96.8,144.408,-37.8781,-1.78E-16,22,40
683,163,78,155,1.64387,32.3136,79,96.8,144.407,-37.8781,-1.78E-16,22,44
684,164,78,155,1.65242,31.6764,87,96.8,144.407,-37.8782,-1.78E-16,22,43
685,165,78,155,1.66099,32.148,91,96.8,144.407,-37.8782,-1.78E-16,22,45
686,166,78,156,1.66958,32.2668,86,96.8,144.407,-37.8783,-1.78E-16,22,44
687,167,77,155,1.67934,33.0444,123,96.8,144.407,-37.8783,-1.78E-16,22,43
688,168,74,156,1.6879,32.3784,138,96.8,144.407,-37.8784,-1.78E-16,22,44
689,169,68,156,1.69704,32.2812,113,96.8,144.407,-37.8784,-1.78E-16,22,43
690,170,64,156,1.70613,32.3316,119,96.8,144.407,-37.8784,-1.78E-16,22,44
691,171,62,157,1.71583,32.7996,131,96.8,144.407,-37.8785,-1.78E-16,22,45
692,172,62,157,1.72495,32.7636,107,96.8,144.407,-37.8786,-1.78E-16,22,45
693,173,63,157,1.73399,32.364,84,96.8,144.407,-37.8786,-1.78E-16,22,45
694,174,63,157,1.74333,32.364,119,96.8,144.406,-37.8787,-1.78E-16,22,44
695,175,63,157,1.75258,32.706,148,96.8,144.406,-37.8787,-1.78E-16,22,44
696,176,63,157,1.76181,32.8104,137,96.8,144.406,-37.8788,-1.78E-16,22,47
697,177,63,157,1.77253,33.876,127,96.8,144.406,-37.8788,-1.78E-16,22,46
698,178,63,157,1.78112,33.8148,130,96.8,144.406,-37.8789,-1.78E-16,22,45
699,179,63,157,1.79009,33.714,133,96.8,144.406,-37.879,-1.78E-16,22,45
700,180,63,158,1.79816,33.2352,129,96.8,144.406,-37.879,-1.78E-16,22,45
701,181,63,158,1.80666,33.3576,122,96.8,144.406,-37.8791,-1.78E-16,22,44
702,182,63,158,1.81514,33.3108,119,96.8,144.406,-37.8791,-1.78E-16,22,45
703,183,63,158,1.82362,33.2388,109,96.8,144.406,-37.8792,-1.78E-16,22,45
704,184,64,158,1.83223,33.3252,108,96.8,144.406,-37.8793,-1.78E-16,22,46
705,185,64,158,1.84076,33.1848,115,96.8,144.406,-37.8793,-1.78E-16,22,46
706,186,64,157,1.85009,33.1848,108,96.8,144.406,-37.8794,-1.78E-16,22,46
707,187,64,157,1.85885,33.7608,111,96.8,144.406,-37.8795,-1.78E-16,22,45
708,188,64,157,1.86783,33.732,110,96.8,144.406,-37.8795,-1.78E-16,22,45
709,189,64,158,1.87659,33.7068,101,96.8,144.406,-37.8796,-1.78E-16,22,43
710,190,64,158,1.88574,34.542,101,96.8,144.405,-37.8797,-1.78E-16,22,43
711,191,65,158,1.89444,33.9192,86,96.8,144.405,-37.8798,-1.78E-16,22,42
712,192,65,158,1.90392,34.5204,85,96.8,144.405,-37.8798,-1.78E-16,22,46
713,193,64,158,1.91346,35.0712,109,97.2,144.405,-37.8799,0.419287,22,47
714,194,64,158,1.92239,34.4448,111,97.6,144.405,-37.88,0.867216,22,46
715,195,64,159,1.93148,33.6204,108,98.2,144.405,-37.8801,1.52728,22,46
716,196,62,159,1.94017,32.8788,107,98.6,144.405,-37.8801,1.98758,22,45
717,197,61,159,1.94829,31.8132,128,99,144.405,-37.8802,2.48019,22,44
718,198,61,159,1.95656,31.2768,145,99,144.405,-37.8803,2.48019,22,49
719,199,60,160,1.96594,31.2408,136,99,144.405,-37.8804,2.48019,22,47
720,200,60,160,1.97442,31.5468,128,99,144.405,-37.8805,2.48019,22,47
721,201,60,160,1.98258,31.1184,127,99,144.405,-37.8805,2.48019,22,44
722,202,60,161,1.99059,31.0464,142,99,144.405,-37.8806,2.48019,22,47
723,203,60,161,1.99915,31.5864,152,99,144.405,-37.8807,2.0609,22,46
724,204,61,161,2.00726,31.014,162,99,144.405,-37.8808,1.61298,22,49
725,205,61,161,2.01532,30.96,159,99,144.405,-37.8808,0.95291,22,48
726,206,61,161,2.02379,31.0356,137,99,144.405,-37.8809,0.492611,22,49
727,207,61,161,2.03218,31.5576,131,99,144.405,-37.881,1.78E-16,22,47
728,208,61,162,2.04044,31.1148,134,99,144.405,-37.881,1.78E-16,22,48
729,209,61,162,2.04945,31.662,143,99,144.405,-37.8811,1.78E-16,22,46
730,210,61,162,2.05858,32.0472,146,99,144.405,-37.8812,1.78E-16,22,46
731,211,61,162,2.06714,32.1624,146,99,144.405,-37.8813,1.78E-16,22,46
732,212,60,162,2.07559,32.22,118,99,144.405,-37.8814,1.78E-16,22,48
733,213,60,162,2.0837,31.0248,127,99,144.405,-37.8814,1.78E-16,22,47
734,214,60,163,2.09166,30.6936,139,99,144.405,-37.8815,1.78E-16,22,47
735,215,59,163,2.09943,30.5964,143,99,144.405,-37.8816,1.78E-16,22,46
736,216,59,163,2.10744,29.7324,145,99,144.405,-37.8816,1.78E-16,22,46
737,217,60,163,2.11629,30.5352,140,99,144.405,-37.8817,1.78E-16,22,48
738,218,60,163,2.12455,30.1356,145,99,144.405,-37.8818,1.78E-16,22,47
739,219,59,163,2.13322,30.7584,135,99,144.405,-37.8819,1.78E-16,22,48
740,220,59,163,2.14212,30.7332,107,99,144.405,-37.882,1.78E-16,22,49
