time, x, y, z
0.03481, 0.17188, 0.61768, 0.25195 
0.03496, 0.19775, 0.60352, 0.28516 
0.03511, 0.18164, 0.59912, 0.27148 
0.03526, 0.14209, 0.62158, 0.28760 
0.03541, 0.15088, 0.62158, 0.28906 
0.03556, 0.13818, 0.60498, 0.33496 
0.03571, 0.11914, 0.60059, 0.34082 
0.03586, 0.10547, 0.60059, 0.33301 
0.03601, 0.15820, 0.61523, 0.34180 
0.03616, 0.09814, 0.60840, 0.36230 
0.03631, 0.12549, 0.61865, 0.38770 
0.03646, 0.08594, 0.58350, 0.37988 
0.03661, 0.06836, 0.60254, 0.37061 
0.03676, 0.07666, 0.57227, 0.39453 
0.03691, 0.07373, 0.57568, 0.42480 
0.03706, 0.03271, 0.56104, 0.43311 
0.03721, 0.03516, 0.57715, 0.44727 
0.03736, 0.02930, 0.57715, 0.46533 
0.03752, 0.03516, 0.58594, 0.47705 
0.03767, 0.00342, 0.56787, 0.48779 
0.03782, -0.00146, 0.56787, 0.50342 
0.03797, 0.00928, 0.58057, 0.51367 
0.03812, -0.02100, 0.53076, 0.53418 
0.03827, -0.00391, 0.53076, 0.54639 
0.03842, -0.01611, 0.54102, 0.56982 
0.03857, -0.03564, 0.53271, 0.56201 
0.03872, -0.05225, 0.53271, 0.60010 
0.03887, -0.04541, 0.55127, 0.60352 
0.03902, -0.09131, 0.51514, 0.61523 
0.03917, -0.07568, 0.51514, 0.62012 
0.03932, -0.07568, 0.51807, 0.62891 
0.03947, -0.07861, 0.51709, 0.62354 
0.03962, -0.08350, 0.51709, 0.63818 
0.03977, -0.11426, 0.52051, 0.64893 
0.03992, -0.10303, 0.52100, 0.65186 
0.04007, -0.10449, 0.52100, 0.69971 
0.04022, -0.14990, 0.50342, 0.70068 
0.04037, -0.13330, 0.50342, 0.73291 
0.04052, -0.13428, 0.51025, 0.74756 
0.04067, -0.13428, 0.47998, 0.76221 
0.04082, -0.17090, 0.47119, 0.75244 
0.04097, -0.19580, 0.48730, 0.73242 
0.04112, -0.18652, 0.49121, 0.77051 
0.04127, -0.21436, 0.49121, 0.78125 
0.04142, -0.21533, 0.44678, 0.79736 
0.04157, -0.23486, 0.48486, 0.82715 
0.04172, -0.24902, 0.48486, 0.84717 
0.04187, -0.22363, 0.45801, 0.81543 
0.04202, -0.22949, 0.45801, 0.86572 
0.04217, -0.24707, 0.45215, 0.87402 
0.04232, -0.29883, 0.43066, 0.88867 
0.04247, -0.27295, 0.43408, 0.91162 
0.04262, -0.29590, 0.43408, 0.92773 
0.04277, -0.32129, 0.45996, 0.91748 
0.04292, -0.33350, 0.45996, 0.93311 
0.04307, -0.31299, 0.44971, 0.97803 
0.04322, -0.33789, 0.43262, 0.95947 
0.04337, -0.33301, 0.43262, 1.01025 
0.04352, -0.34521, 0.41650, 0.97119 
0.04367, -0.37354, 0.39795, 1.00391 
0.04382, -0.37305, 0.39795, 1.02148 
0.04397, -0.38281, 0.39551, 1.01172 
0.04412, -0.37988, 0.40234, 1.06152 
0.04427, -0.39795, 0.40234, 1.07227 
0.04442, -0.36035, 0.39453, 1.09033 
0.04457, -0.39111, 0.37842, 1.10938 
0.04472, -0.39062, 0.37842, 1.13379 
0.04487, -0.40234, 0.36328, 1.11719 
0.04502, -0.43213, 0.36328, 1.15967 
0.04517, -0.40527, 0.39209, 1.15723 
0.04532, -0.42432, 0.37744, 1.17090 
0.04547, -0.45117, 0.37207, 1.18213 
0.04562, -0.41357, 0.37207, 1.17529 
0.04577, -0.47168, 0.35547, 1.23877 
0.04592, -0.47852, 0.36328, 1.25488 
0.04607, -0.44385, 0.36377, 1.25195 
0.04622, -0.45605, 0.34082, 1.24951 
0.04637, -0.46240, 0.34082, 1.28418 
0.04652, -0.45996, 0.35645, 1.31104 
0.04667, -0.44141, 0.36816, 1.32520 
0.04682, -0.48926, 0.37402, 1.30029 
0.04697, -0.49854, 0.37402, 1.33838 
0.04712, -0.49561, 0.35205, 1.36328 
0.04727, -0.48145, 0.35938, 1.37549 
0.04742, -0.50732, 0.33643, 1.39453 
0.04757, -0.48535, 0.33105, 1.40869 
0.04772, -0.48633, 0.35547, 1.41406 
0.04787, -0.47705, 0.35547, 1.42432 
0.04802, -0.47412, 0.32373, 1.46289 
0.04817, -0.47070, 0.33496, 1.46289 
0.04832, -0.49170, 0.32764, 1.50146 
0.04847, -0.51172, 0.31348, 1.49951 
0.04862, -0.47998, 0.33154, 1.52783 
0.04877, -0.50684, 0.31934, 1.56494 
0.04892, -0.49951, 0.29053, 1.56299 
0.04907, -0.48877, 0.30615, 1.59180 
0.04922, -0.48486, 0.29932, 1.59814 
0.04937, -0.47998, 0.30518, 1.61670 
0.04952, -0.49023, 0.27832, 1.63525 
0.04967, -0.49512, 0.29297, 1.63916 
0.04982, -0.50928, 0.30420, 1.63574 
0.04997, -0.50537, 0.28955, 1.68213 
0.05012, -0.49463, 0.29443, 1.68652 
0.05027, -0.48975, 0.29443, 1.69727 
0.05042, -0.49951, 0.29150, 1.75146 
0.05057, -0.49219, 0.29150, 1.75098 
0.05072, -0.48438, 0.25781, 1.76514 
0.05087, -0.48340, 0.26367, 1.77588 
0.05102, -0.46729, 0.26367, 1.79053 
0.05117, -0.46680, 0.29199, 1.81104 
0.05132, -0.47217, 0.27100, 1.84912 
0.05147, -0.44678, 0.24072, 1.85352 
0.05162, -0.45312, 0.24805, 1.83545 
0.05177, -0.46045, 0.28271, 1.89355 
0.05192, -0.48535, 0.23535, 1.89355 
0.05207, -0.45898, 0.25195, 1.92383 
0.05222, -0.43213, 0.22119, 1.91357 
0.05237, -0.44580, 0.24463, 1.91357 
0.05252, -0.42773, 0.24805, 1.94873 
0.05267, -0.46289, 0.24707, 1.98096 
0.05282, -0.44092, 0.25732, 1.97949 
