time, x, y, z
0.07125, 0.44531, -0.27344, -0.89062 
0.07156, 0.42969, -0.25000, -0.78906 
0.07188, 0.42969, -0.25000, -0.78906 
0.07219, 0.41406, -0.23438, -0.84375 
0.07250, 0.45312, -0.21875, -0.90625 
0.07281, 0.46094, -0.27344, -0.75000 
0.07312, 0.43750, -0.25000, -0.89062 
0.07344, 0.43750, -0.28125, -0.84375 
0.07375, 0.41406, -0.25000, -0.83594 
0.07406, 0.42188, -0.22656, -0.88281 
0.07437, 0.41406, -0.25000, -0.90625 
0.07469, 0.42969, -0.26562, -0.86719 
0.07500, 0.43750, -0.25000, -0.87500 
0.07531, 0.38281, -0.19531, -0.89062 
0.07562, 0.40625, -0.25000, -0.79688 
0.07594, 0.40625, -0.25000, -0.79688 
0.07625, 0.43750, -0.25000, -0.82031 
0.07656, 0.45312, -0.26562, -0.86719 
0.07687, 0.42969, -0.26562, -0.89062 
0.07719, 0.42969, -0.26562, -0.89062 
0.07750, 0.43750, -0.32812, -0.92969 
0.07781, 0.49219, -0.27344, -0.90625 
0.07812, 0.44531, -0.24219, -0.79688 
0.07844, 0.47656, -0.22656, -0.87500 
0.07875, 0.43750, -0.25000, -0.83594 
0.07906, 0.43750, -0.25000, -0.86719 
0.07938, 0.44531, -0.25781, -0.93750 
0.07969, 0.50000, -0.23438, -0.89062 
0.08000, 0.42188, -0.25000, -0.89844 
0.08031, 0.42188, -0.25781, -0.84375 
0.08063, 0.53125, -0.25781, -0.90625 
0.08094, 0.46094, -0.28906, -0.80469 
0.08125, 0.41406, -0.25781, -0.89844 
0.08156, 0.46875, -0.29688, -0.83594 
0.08188, 0.41406, -0.25781, -0.89062 
0.08219, 0.44531, -0.27344, -0.82031 
0.08250, 0.43750, -0.25000, -0.77344 
0.08281, 0.43750, -0.32031, -0.90625 
0.08313, 0.51562, -0.29688, -0.87500 
0.08344, 0.48438, -0.21094, -0.92188 
0.08375, 0.46875, -0.25781, -0.83594 
0.08406, 0.44531, -0.24219, -0.87500 
0.08438, 0.47656, -0.26562, -0.88281 
0.08469, 0.52344, -0.27344, -0.86719 
0.08500, 0.46094, -0.28906, -0.87500 
0.08531, 0.44531, -0.25000, -0.85156 
0.08563, 0.42188, -0.22656, -0.89062 
0.08594, 0.50000, -0.25781, -0.96875 
0.08625, 0.46094, -0.25781, -0.80469 
0.08656, 0.44531, -0.25000, -0.83594 
0.08688, 0.44531, -0.25000, -0.83594 
0.08719, 0.45312, -0.25000, -0.90625 
0.08750, 0.45312, -0.25000, -0.90625 
0.08781, 0.46094, -0.27344, -0.85156 
0.08812, 0.45312, -0.28906, -0.88281 
0.08844, 0.46875, -0.29688, -0.92188 
0.08875, 0.42188, -0.25000, -0.94531 
0.08906, 0.46875, -0.16406, -0.87500 
0.08937, 0.46094, -0.25000, -0.88281 
0.08969, 0.45312, -0.27344, -0.95312 
0.09000, 0.45312, -0.26562, -0.89062 
0.09031, 0.44531, -0.25000, -0.94531 
0.09062, 0.43750, -0.16406, -0.89062 
0.09094, 0.42969, -0.24219, -0.92969 
0.09125, 0.42188, -0.24219, -0.90625 
0.09156, 0.43750, -0.22656, -0.89062 
0.09187, 0.54688, -0.28906, -0.86719 
0.09219, 0.42969, -0.28125, -0.92969 
0.09250, 0.46094, -0.25000, -0.98438 
0.09281, 0.52344, -0.25781, -0.91406 
0.09312, 0.46875, -0.25000, -0.96875 
0.09344, 0.46094, -0.28906, -0.84375 
0.09375, 0.42969, -0.22656, -0.91406 
0.09406, 0.50000, -0.20312, -0.90625 
0.09438, 0.47656, -0.29688, -0.90625 
0.09469, 0.45312, -0.21094, -0.93750 
0.09500, 0.50000, -0.28125, -0.86719 
0.09531, 0.47656, -0.25781, -0.92188 
0.09563, 0.45312, -0.30469, -0.92188 
0.09594, 0.43750, -0.25000, -0.91406 
0.09625, 0.39062, -0.21094, -0.89062 
0.09656, 0.46094, -0.28125, -0.93750 
0.09688, 0.42969, -0.26562, -0.91406 
0.09719, 0.43750, -0.28906, -0.79688 
0.09750, 0.43750, -0.28906, -0.79688 
0.09781, 0.42969, -0.25781, -0.93750 
0.09813, 0.42969, -0.28125, -0.81250 
0.09844, 0.42969, -0.25781, -0.83594 
0.09875, 0.49219, -0.32812, -0.88281 
0.09906, 0.42188, -0.26562, -0.92969 
0.09938, 0.45312, -0.28125, -0.92188 
0.09969, 0.45312, -0.25781, -0.88281 
0.10000, 0.43750, -0.25000, -0.92188 
0.10031, 0.45312, -0.25781, -0.96875 
0.10063, 0.46875, -0.27344, -0.86719 
0.10094, 0.48438, -0.29688, -0.82031 
0.10125, 0.43750, -0.25000, -0.89844 
0.10156, 0.40625, -0.27344, -0.89844 
0.10188, 0.43750, -0.26562, -0.89062 
0.10219, 0.42188, -0.26562, -0.90625 
0.10250, 0.43750, -0.24219, -0.89062 
0.10281, 0.43750, -0.30469, -0.92188 
0.10313, 0.43750, -0.22656, -0.89062 
0.10344, 0.37500, -0.25000, -0.90625 
0.10375, 0.45312, -0.24219, -0.84375 
0.10406, 0.46094, -0.25000, -0.85156 
0.10437, 0.43750, -0.25781, -0.82812 
0.10469, 0.46875, -0.23438, -0.82812 
0.10500, 0.42969, -0.25781, -0.85156 
0.10531, 0.42188, -0.21875, -0.89062 
0.10562, 0.43750, -0.25781, -0.90625 
0.10594, 0.43750, -0.27344, -0.84375 
0.10625, 0.45312, -0.29688, -0.89062 
0.10656, 0.45312, -0.29688, -0.89062 
0.10687, 0.46094, -0.27344, -0.89062 
0.10719, 0.48438, -0.25000, -0.87500 
0.10750, 0.48438, -0.25000, -0.87500 
0.10781, 0.44531, -0.25000, -0.91406 
0.10812, 0.43750, -0.24219, -0.80469 
0.10844, 0.44531, -0.25781, -0.86719 
0.10875, 0.43750, -0.25000, -0.83594 
0.10906, 0.42969, -0.25781, -0.75000 
0.10938, 0.43750, -0.22656, -0.87500 
0.10969, 0.43750, -0.25781, -0.88281 
0.11000, 0.50000, -0.25781, -0.88281 
0.11031, 0.47656, -0.24219, -0.89844 
0.11063, 0.43750, -0.25000, -0.85156 
0.11094, 0.44531, -0.27344, -0.85156 
0.11125, 0.45312, -0.25000, -0.83594 
0.11156, 0.44531, -0.25000, -0.91406 
0.11188, 0.46094, -0.23438, -0.88281 
0.11219, 0.45312, -0.26562, -0.93750 
0.11250, 0.42969, -0.25781, -0.89062 
0.11281, 0.44531, -0.25000, -0.87500 
0.11313, 0.46094, -0.31250, -0.88281 
0.11344, 0.44531, -0.24219, -0.91406 
0.11375, 0.48438, -0.28125, -0.89062 
0.11406, 0.50781, -0.25000, -0.87500 
0.11438, 0.51562, -0.25781, -0.92188 
0.11469, 0.43750, -0.26562, -0.95312 
0.11500, 0.43750, -0.24219, -0.87500 
0.11531, 0.42969, -0.21875, -0.92969 
0.11563, 0.42188, -0.25000, -0.81250 
0.11594, 0.39844, -0.23438, -0.91406 
0.11625, 0.46875, -0.24219, -0.90625 
0.11656, 0.49219, -0.23438, -0.91406 
0.11688, 0.45312, -0.26562, -0.88281 
0.11719, 0.45312, -0.26562, -0.88281 
0.11750, 0.45312, -0.31250, -0.91406 
0.11781, 0.42188, -0.19531, -0.91406 
0.11813, 0.42188, -0.23438, -0.88281 
0.11844, 0.40625, -0.21875, -0.89062 
0.11875, 0.46094, -0.23438, -0.88281 
0.11906, 0.48438, -0.25781, -0.92188 
0.11938, 0.48438, -0.28125, -0.83594 
0.11969, 0.46094, -0.27344, -0.84375 
0.12000, 0.46094, -0.26562, -0.91406 
0.12031, 0.46094, -0.26562, -0.88281 
0.12062, 0.46094, -0.25000, -0.85156 
0.12094, 0.46094, -0.26562, -0.83594 
0.12125, 0.46094, -0.32031, -0.82031 
0.12156, 0.42969, -0.25000, -0.89844 
0.12187, 0.43750, -0.25781, -0.81250 
0.12219, 0.46094, -0.24219, -0.90625 
0.12250, 0.46875, -0.22656, -0.90625 
0.12281, 0.46094, -0.25000, -0.88281 
0.12312, 0.44531, -0.25000, -0.85938 
0.12344, 0.49219, -0.28906, -0.90625 
0.12375, 0.44531, -0.28125, -0.92969 
0.12406, 0.45312, -0.24219, -0.89062 
0.12437, 0.44531, -0.27344, -0.81250 
0.12469, 0.45312, -0.29688, -0.90625 
0.12500, 0.50000, -0.27344, -0.86719 
0.12531, 0.44531, -0.33594, -0.90625 
0.12563, 0.46094, -0.26562, -0.89844 
0.12594, 0.48438, -0.25781, -0.95312 
0.12625, 0.47656, -0.25781, -0.78125 
0.12656, 0.46094, -0.25000, -0.92188 
0.12688, 0.46094, -0.25000, -0.92188 
0.12719, 0.42969, -0.26562, -0.91406 
0.12750, 0.43750, -0.28125, -0.90625 
0.12781, 0.41406, -0.27344, -0.91406 
0.12812, 0.43750, -0.25000, -0.91406 
0.12844, 0.46094, -0.26562, -0.86719 
0.12875, 0.46094, -0.26562, -0.89062 
0.12906, 0.49219, -0.24219, -0.92188 
0.12937, 0.42969, -0.23438, -0.88281 
0.12969, 0.47656, -0.28906, -0.85938 
0.13000, 0.46875, -0.27344, -0.93750 
0.13031, 0.42969, -0.28906, -0.92188 
0.13062, 0.45312, -0.27344, -0.98438 
0.13094, 0.45312, -0.28125, -0.82031 
0.13125, 0.46094, -0.27344, -0.85938 
0.13156, 0.42969, -0.28125, -0.80469 
0.13187, 0.44531, -0.23438, -0.85156 
0.13219, 0.44531, -0.25000, -0.90625 
0.13250, 0.40625, -0.25781, -0.86719 
0.13281, 0.43750, -0.25000, -0.94531 
0.13312, 0.40625, -0.20312, -0.89844 
0.13344, 0.48438, -0.26562, -0.87500 
0.13375, 0.52344, -0.28125, -0.96875 
0.13406, 0.46094, -0.31250, -0.84375 
0.13437, 0.42969, -0.29688, -0.87500 
0.13469, 0.52344, -0.28906, -0.90625 
0.13500, 0.46094, -0.27344, -0.82031 
0.13531, 0.40625, -0.19531, -0.89062 
0.13562, 0.44531, -0.21875, -0.90625 
0.13594, 0.44531, -0.28906, -0.87500 
0.13625, 0.43750, -0.22656, -0.90625 
0.13656, 0.43750, -0.28125, -0.96875 
0.13687, 0.45312, -0.25000, -0.91406 
0.13719, 0.45312, -0.25000, -0.91406 
0.13750, 0.49219, -0.22656, -0.93750 
0.13781, 0.44531, -0.25781, -0.85938 
0.13812, 0.45312, -0.25000, -0.91406 
0.13844, 0.42188, -0.25781, -0.92188 
0.13875, 0.50000, -0.26562, -0.96094 
0.13906, 0.43750, -0.25000, -1.00000 
