time, x, y, z
0.32200, -0.83008, 0.14648, 1.56250 
0.32300, -0.39062, -0.09766, 2.53906 
0.32400, -0.39062, 0.04883, 2.88086 
0.32500, -0.87891, 0.19531, 3.46680 
0.32600, -1.12305, -0.53711, 2.73438 
0.32700, -1.41602, -0.24414, 1.56250 
0.32800, -1.46484, -0.04883, 1.90430 
0.32900, -1.61133, -0.04883, 0.97656 
0.33000, -0.83008, -0.53711, 1.26953 
0.33100, -1.41602, 0.04883, 1.95312 
0.33200, -1.51367, -0.09766, 1.85547 
0.33300, -0.87891, -0.39062, 1.41602 
0.33400, -1.17188, -0.14648, 1.56250 
0.33500, -1.75781, 0.43945, 2.09961 
0.33600, -0.92773, -0.48828, 2.73438 
0.33700, -1.12305, -0.29297, 1.56250 
0.33800, -1.61133, -0.68359, 1.22070 
0.33900, -1.66016, -0.68359, 1.70898 
0.34000, -1.41602, -0.09766, 2.73438 
0.34100, -0.92773, 0.29297, 2.73438 
0.34200, -1.66016, 0.14648, 2.88086 
0.34300, -1.41602, 0.14648, 3.51562 
0.34400, -1.07422, -0.09766, 2.97852 
0.34500, -2.19727, -0.58594, 2.63672 
0.34600, -1.80664, -0.97656, 1.75781 
0.34700, -1.12305, -0.09766, 3.07617 
0.34800, -0.87891, 0.00000, 2.34375 
0.34900, -1.12305, 0.34180, 1.85547 
0.35000, -2.05078, -0.43945, 3.95508 
0.35100, -1.85547, -0.39062, 2.29492 
0.35200, -2.00195, 0.09766, 2.24609 
0.35300, -1.07422, -0.43945, 3.32031 
0.35400, -1.26953, -0.14648, 2.34375 
0.35500, -1.46484, -0.48828, 1.75781 
0.35600, -1.31836, 0.73242, 2.49023 
0.35700, -1.36719, 0.58594, 1.80664 
0.35800, -1.51367, 0.53711, 1.70898 
0.35900, -1.36719, 0.39062, 2.34375 
0.36000, -0.48828, 0.04883, 1.56250 
0.36100, -1.36719, 0.68359, 2.49023 
0.36200, -1.66016, -0.43945, 2.78320 
0.36300, -1.12305, -0.53711, 2.05078 
0.36400, -1.31836, -0.14648, 2.29492 
0.36500, -0.83008, -0.29297, 2.92969 
0.36600, -1.41602, -0.04883, 2.05078 
0.36700, -0.97656, -0.63477, 2.34375 
0.36800, -1.41602, -0.92773, 3.17383 
0.36900, -0.78125, -0.92773, 1.66016 
0.37000, -0.78125, -0.92773, 1.66016 
0.37100, -0.78125, -0.92773, 1.66016 
0.37200, -0.78125, -0.92773, 1.66016 
